Player,Season,Club,Competition,Apps,Goals
Callum Doyle,2021-22,Manchester City,Premier League,0,0
Callum Doyle,2021-22,Sunderland (loan),League One,36,1
Callum Doyle,2022-23,Coventry City (loan),Championship,41,0
Callum Doyle,2023-24,Leicester City (loan),Championship,17,0
Callum Doyle,2024-25,Norwich City (loan),Championship,40,1
Aaron James,2022-23,Wrexham,National League,0,0
Aaron James,2023-24,Wrexham,League Two,1,0
Aaron James,2024-25,Wrexham,League One,0,0
Aaron James,2024-25,Warrington Town (loan),National League North,17,1
R. Longman,2019-20,Brighton & Hove Albion,Premier League,0,0
R. Longman,2020-21,AFC Wimbledon (loan),League One,44,8
R. Longman,2021-22,Hull City (loan),Championship,19,3
R. Longman,2021-22,Hull City,Championship,16,1
R. Longman,2022-23,Hull City,Championship,37,2
R. Longman,2023-24,Millwall (loan),Championship,35,3
R. Longman,2023-24,Hull City,Championship,0,0
R. Longman,2024-25,Hull City,Championship,9,1
Issa Kaboré,2019-20,KV Mechelen,Belgian Pro League,5,0
Issa Kaboré,2020-21,KV Mechelen (loan),Belgian Pro League,27,0
Issa Kaboré,2021-22,Troyes (loan),Ligue 1,31,0
Issa Kaboré,2022-23,Marseille (loan),Ligue 1,22,1
Issa Kaboré,2023-24,Luton Town (loan),Premier League,24,0
Issa Kaboré,2024-25,Benfica (loan),Primeira Liga,3,0
Issa Kaboré,2024-25,Werder Bremen (loan),Bundesliga,9,0
Conor Coady,2010-13,Liverpool,Premier League,1,0
Conor Coady,2013-14,Sheffield United (loan),League One,39,5
Conor Coady,2014-15,Huddersfield Town,Championship,45,3
Conor Coady,2015-22,Wolverhampton Wanderers,Championship / Premier League,273,6
Conor Coady,2022-23,Everton (loan),Premier League,24,1
Conor Coady,2023-25,Leicester City,Championship / Premier League,34,1
Ben Sheaf,2017-18,Arsenal,Premier League,0,0
Ben Sheaf,2017-18,Stevenage (loan),League Two,10,0
Ben Sheaf,2019-20,Doncaster Rovers (loan),League One,32,1
Ben Sheaf,2020-21,Coventry City (loan),Championship,30,0
Ben Sheaf,2021-22,Coventry City,Championship,35,2
Ben Sheaf,2022-23,Coventry City,Championship,35,2
Ben Sheaf,2023-24,Coventry City,Championship,31,3
Ben Sheaf,2024-25,Coventry City,Championship,29,0
George Dobson,2016-17,West Ham United,Premier League,0,0
George Dobson,2016-17,Walsall (loan),League One,21,1
George Dobson,2017-18,Sparta Rotterdam,Eredivisie,5,0
George Dobson,2017-18,Jong Sparta,Tweede Divisie,6,1
George Dobson,2017-18,Walsall,League One,21,1
George Dobson,2018-19,Walsall,League One,39,0
George Dobson,2019-20,Sunderland,League One,29,0
George Dobson,2020-21,Sunderland,League One,5,0
George Dobson,2020-21,AFC Wimbledon (loan),League One,24,1
George Dobson,2021-24,Charlton Athletic,League One,126,4
Harry Ashfield,2023-24,Wrexham,EFL Trophy / Cup,1,0
Harry Ashfield,2024-25,Wrexham,League One (+cups),5,1
Harry Ashfield,2025-26,Wrexham,EFL Championship (+cups),3,1
Harry Ashfield,2025-26,Cheltenham Town (loan),League Two,14,2
Elliot Lee,2012-13,West Ham United,Premier League / Cups,1,0
Elliot Lee,2013-14,Colchester United (loan),League One,4,1
Elliot Lee,2014-15,Southend Utd / Luton Town (loan),Conference / League Two,11,3
Elliot Lee,2015-16,Blackpool (loan),League One,4,0
Elliot Lee,2015-16,Colchester United (loan),League One,15,2
Elliot Lee,2016-17,Barnsley,League One,6,0
Elliot Lee,2017-22,Luton Town,League Two → Championship,93,24
Elliot Lee,2021-22,Charlton Athletic (loan),League One,34,3
Andy Cannon,2014-19,Rochdale,League One / Two,100,4
Andy Cannon,2019-21,Portsmouth,League One,63,3
Andy Cannon,2021-22,Hull City,Championship,,
Andy Cannon,2022,Stockport County (loan),League Two,,
Lewis O'Brien,2018-19,Bradford City (loan),League One,40,4
Lewis O'Brien,2019-22,Huddersfield Town,Championship,123,8
Lewis O'Brien,2022-23,Nottingham Forest,Premier League,13,1
Lewis O'Brien,2023,D.C. United (loan),MLS,17,1
Lewis O'Brien,2023-24,Middlesbrough (loan),Championship,23,0
Lewis O'Brien,2024,LAFC (loan),MLS,9,0
Lewis O'Brien,2024-25,Swansea City (loan),Championship,16,1
Josh Windass,2012-13,Harrogate Railway Athletic,Non-league,,
Josh Windass,2013-16,Accrington Stanley,League Two,75,22
Josh Windass,2016-18,Rangers,Scottish Premiership,55,13
Josh Windass,2018-20,Wigan Athletic,League One / Championship,54,9
Josh Windass,2019-20,Sheffield Wednesday (loan),Championship,9,3
Josh Windass,2020-25,Sheffield Wednesday,Championship,153,43
Nathan Broadhead,2017-23,Everton,Premier League,1,0
Nathan Broadhead,2019-20,Burton Albion (loan),League One,19,2
Nathan Broadhead,2021-22,Sunderland (loan),League One,20,10
Nathan Broadhead,2022-23,Wigan Athletic (loan),Championship,22,5
Nathan Broadhead,2023-25,Ipswich Town,League One / Championship,76,23
Brian Gutiérrez,2020,Chicago Fire FC,MLS,6,0
Brian Gutiérrez,2021,Chicago Fire FC,MLS,17,0
Brian Gutiérrez,2022,Chicago Fire FC,MLS,34,2
Brian Gutiérrez,2023,Chicago Fire FC,MLS,38,2
Brian Gutiérrez,2024,Chicago Fire FC,MLS,34,6
Brian Gutiérrez,2025,Chicago Fire FC,MLS,35,11
Andrés Gómez,2021-23,Millonarios,Categoría Primera A,49,9
Andrés Gómez,2023-24,Real Salt Lake,MLS,56,14
Andrés Gómez,2024-25,Rennes,Ligue 1,17,3
José Luis Rodríguez,2015-16,Chorrillo,Liga Panameña,16,1
José Luis Rodríguez,2018-19,Istra 1961,Prva HNL (Croatia),8,1
José Luis Rodríguez,2019-20,Deportivo Alavés,La Liga,1,0
José Luis Rodríguez,2020-21,CD Lugo (loan),Segunda División,26,5
José Luis Rodríguez,2021-22,Sporting Gijón (loan),Segunda División,35,0
José Luis Rodríguez,2022-24,Famalicão,Primeira Liga,30,2
José Luis Rodríguez,2024-26,FC Juárez,Liga MX,63,5
Jay Rodriguez,2007-08,Burnley,Championship,1,0
Jay Rodriguez,2007-08,Stirling Albion (loan),Scottish First Division,11,3
Jay Rodriguez,2008-09,Burnley,Championship,25,2
Jay Rodriguez,2009-10,Burnley,Championship,0,0
Jay Rodriguez,2009-10,Barnsley (loan),Championship,6,1
Jay Rodriguez,2010-11,Burnley,Championship,42,14
Jay Rodriguez,2011-12,Burnley,Championship,37,15
Jay Rodriguez,2012-17,Southampton,Premier League,104,26
Jay Rodriguez,2017-19,West Bromwich Albion,Premier League / Championship,82,29
Jay Rodriguez,2019-25,Burnley,Premier League / Championship,165,25
Paul Mullin,2013-14,Huddersfield Town,Championship,0,0
Paul Mullin,2014-17,Morecambe,League Two,122,25
Paul Mullin,2017-18,Swindon Town,League Two,40,6
Paul Mullin,2018-20,Tranmere Rovers,League Two / One,42,8
Paul Mullin,2019-21,Cambridge United,League Two,52,34
Paul Mullin,2021-25,Wrexham,National League → League One,148,91
Paul Mullin,2025-26,Wigan Athletic (loan),League One,20,4
Paul Mullin,2025-26,Bradford City (loan),League One,9,0
Kieffer Moore,2012-13,Truro City / Dorchester Town,Conference South,35,20
Kieffer Moore,2013-15,Yeovil Town,Championship / League One,50,7
Kieffer Moore,2015,Viking FK,Tippeligaen (Norway),9,0
Kieffer Moore,2015-17,Forest Green Rovers,National League,33,7
Kieffer Moore,2016-17,Torquay United (loan),National League,4,5
Kieffer Moore,2016-18,Ipswich Town,Championship,11,0
Kieffer Moore,2017-18,Rotherham United (loan),League One,22,13
Kieffer Moore,2017-19,Barnsley,Championship / League One,51,21
Kieffer Moore,2019-20,Wigan Athletic,Championship,36,10
Kieffer Moore,2020-22,Cardiff City,Championship,64,25
Kieffer Moore,2021-24,Bournemouth,Championship / Premier League,39,9
Kieffer Moore,2023-24,Ipswich Town (loan),Championship,18,7
Kieffer Moore,2024-25,Sheffield United,Championship,27,5
Ryan Hardie,2014-15,Rangers,Scottish Championship,5,2
Ryan Hardie,2015-16,Rangers,Scottish Championship,1,0
Ryan Hardie,2015-17,Raith Rovers (loan),Scottish Championship,28,12
Ryan Hardie,2016-17,St Mirren (loan),Scottish Championship,16,3
Ryan Hardie,2017-18,Rangers,Scottish Premiership,7,0
Ryan Hardie,2017-19,Livingston (loan),Scottish Championship / Premiership,37,15
Ryan Hardie,2019-20,Blackpool,League One,7,0
Ryan Hardie,2019-25,Plymouth Argyle,League Two → Championship,214,63
Davis Keillor-Dunn,2017-19,Ross County,Scottish Premiership / Championship,40,4
Davis Keillor-Dunn,2018-19,Falkirk (loan),Scottish Championship,11,3
Davis Keillor-Dunn,2019-20,Wrexham,National League,6,1
Davis Keillor-Dunn,2020-22,Oldham Athletic,League Two,87,25
Davis Keillor-Dunn,2022-23,Burton Albion,League One,19,5
Davis Keillor-Dunn,2022-25,Mansfield Town,League Two / One,68,28
Davis Keillor-Dunn,2024-26,Barnsley,League One,66,31
Bailey Cadamarteri,2022-23,Sheffield Wednesday,League One (+cups),1,0
Bailey Cadamarteri,2023-24,Sheffield Wednesday,Championship (+cups),25,5
Bailey Cadamarteri,2024-25,Sheffield Wednesday,Championship (+cups),1,0
Bailey Cadamarteri,2024-25,Lincoln City (loan),League One (+cups),31,8
Bailey Cadamarteri,2025-26,Sheffield Wednesday,Championship (+cups),30,2
Mo Faal,2021-22,West Bromwich Albion,Championship,0,0
Mo Faal,2021-22,Hereford (loan),National League North,4,1
Mo Faal,2022-23,West Bromwich Albion,Championship,1,0
Mo Faal,2022-23,AFC Telford United (loan),National League North,6,0
Mo Faal,2022-23,AFC Fylde (loan),National League North,16,10
Mo Faal,2023-24,Doncaster Rovers (loan),League Two,25,7
Mo Faal,2023-24,Walsall (loan),League Two,20,6
Joenathan Amelia,2021-22,FC Dordrecht (reserves),Dutch Eerste Divisie,12,0
Joenathan Amelia,2022-23,FC Dordrecht,Eerste Divisie,24,1
Joenathan Amelia,2023-24,Almere City FC,Eerste Divisie,29,2
Joenathan Amelia,2024-25,Almere City FC,Eerste Divisie,31,3
Joenathan Amelia,,NOTE,"Curaçao international status is real and confirmed; club career above is a plausible reconstruction (not sourced record) since no public playing history could be found for this name, per user direction to invent the rest.",,
Damián Bobadilla,2021-23,Cerro Porteño,Paraguayan Primera División / Copa Libertadores,,
Damián Bobadilla,2024-26,São Paulo FC,Brasileirão / Copa Libertadores,,
Damián Bobadilla,,NOTE,"Cerro Porteño academy background, São Paulo FC transfer (Dec 2023, ~$3m), and Paraguay 2026 World Cup squad recognition are real and confirmed. Real career remained at São Paulo through 2025-26; the Wrexham free-agent move is this save's simulation, per user confirmation this is the real player. Apps/goals not reliably sourced.",,
Yacel Amrizi,,UNCONFIRMED - see Notes,No real-world footballer named Yacel Amrizi could be found in any public football database or news source. This appears to be a fictional/EA-generated depth player rather than a real licensed pro. No bio or career history is published here rather than fabricate one.,,
